CODEGEO,NIVGEO,UNIT_label_fr,UNIT,NA17,OBS_VALUE,NA17_label,DATASET_VERSION,DATASET_NAME,DATA_DATE,SPHEREECO,DOMPUB,SPHEREECO_label,DOMPUB_label
04,DEP,Nombre d'établissements,NBET,KZ,229.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Nombre d'établissements,NBET,LZ,110.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Nombre d'établissements,NBET,MN,823.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Nombre d'établissements,NBET,OQ,1023.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Nombre d'établissements,NBET,RU,661.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,ENS,47418.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,AZ,896.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,C1,1445.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,C2,0.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,C3,47.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,C4,48.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,C5,2646.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,DE,637.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,FZ,2939.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,GZ,7055.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,HZ,2101.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,IZ,2660.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,JZ,266.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,KZ,1045.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,LZ,357.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
04,DEP,Postes salariés dans les établissements,NBSALET,MN,3730.0,Activité économique en 17 postes (NA - A17),GEO2021FLORES2018,Fichier localisé des rémunérations et de l'emploi salarié,2018.0,,,,
