code_commune,nb_menages,nb_personnes,revenu_median,code_dept,annee
02212,292.0,658.0,22270.0,02,2021
02213,131.0,328.0,22390.0,02,2021
02215,320.0,793.0,22490.0,02,2021
02216,134.0,330.0,24090.0,02,2021
02217,387.0,856.0,22120.0,02,2021
02218,256.0,621.0,22440.0,02,2021
02219,70.0,180.0,20440.0,02,2021
02220,180.0,452.0,22040.0,02,2021
02221,58.0,147.0,24820.0,02,2021
02223,124.0,307.0,21900.0,02,2021
02224,137.0,361.0,21440.0,02,2021
02226,788.0,1828.0,22730.0,02,2021
02227,54.0,144.0,22630.0,02,2021
02228,126.0,321.0,21750.0,02,2021
02230,74.0,168.0,21890.0,02,2021
02231,364.0,902.0,20170.0,02,2021
02232,82.0,196.0,22930.0,02,2021
02233,58.0,124.0,22370.0,02,2021
02235,51.0,129.0,20300.0,02,2021
02236,130.0,340.0,20610.0,02,2021
02237,589.0,1347.0,20300.0,02,2021
02238,722.0,1713.0,20740.0,02,2021
02239,461.0,1107.0,20650.0,02,2021
02240,87.0,203.0,21140.0,02,2021
02242,258.0,595.0,23730.0,02,2021
02243,1292.0,2870.0,20820.0,02,2021
02245,684.0,1629.0,21430.0,02,2021
02246,240.0,570.0,21670.0,02,2021
02248,57.0,143.0,18830.0,02,2021
02249,43.0,104.0,23420.0,02,2021
02253,150.0,391.0,24260.0,02,2021
02254,51.0,133.0,24460.0,02,2021
02255,59.0,146.0,20660.0,02,2021
02256,50.0,119.0,20490.0,02,2021
02257,180.0,434.0,27180.0,02,2021
02258,151.0,379.0,22140.0,02,2021
02259,156.0,388.0,25610.0,02,2021
02260,249.0,585.0,19930.0,02,2021
02261,169.0,387.0,21950.0,02,2021
02262,86.0,215.0,22500.0,02,2021
02263,46.0,111.0,23820.0,02,2021
02264,299.0,714.0,19340.0,02,2021
02267,115.0,280.0,23120.0,02,2021
02268,268.0,663.0,24440.0,02,2021
02269,54.0,136.0,21180.0,02,2021
02270,67.0,167.0,21140.0,02,2021
02271,50.0,123.0,18840.0,02,2021
02273,80.0,194.0,22730.0,02,2021
02274,70.0,161.0,20730.0,02,2021
02275,139.0,306.0,16390.0,02,2021
02276,57.0,121.0,22940.0,02,2021
02277,138.0,362.0,21260.0,02,2021
02279,235.0,574.0,24860.0,02,2021
02280,154.0,405.0,24460.0,02,2021
02281,96.0,252.0,24210.0,02,2021
02282,176.0,420.0,21000.0,02,2021
02283,117.0,277.0,19790.0,02,2021
02286,364.0,852.0,21000.0,02,2021
02287,466.0,1081.0,24790.0,02,2021
02288,149.0,350.0,21550.0,02,2021
02289,173.0,398.0,24830.0,02,2021
02290,1105.0,2588.0,23660.0,02,2021
02291,159.0,407.0,21190.0,02,2021
02292,582.0,1313.0,21900.0,02,2021
02293,223.0,535.0,21120.0,02,2021
02294,84.0,193.0,25310.0,02,2021
02295,366.0,823.0,19530.0,02,2021
02296,450.0,1093.0,23170.0,02,2021
02297,47.0,119.0,23220.0,02,2021
02298,661.0,1407.0,19940.0,02,2021
02299,228.0,530.0,22270.0,02,2021
02302,128.0,354.0,24050.0,02,2021
02303,288.0,755.0,32330.0,02,2021
02304,1178.0,2407.0,16210.0,02,2021
02305,1296.0,2791.0,19780.0,02,2021
02306,223.0,544.0,20600.0,02,2021
02307,882.0,1914.0,22930.0,02,2021
02308,200.0,479.0,19670.0,02,2021
02309,261.0,649.0,21460.0,02,2021
02310,113.0,264.0,23300.0,02,2021
02311,53.0,122.0,22350.0,02,2021
02312,433.0,1115.0,21260.0,02,2021
02313,171.0,442.0,21670.0,02,2021
02315,642.0,1547.0,21150.0,02,2021
02316,61.0,144.0,26560.0,02,2021
