periode,revenu,description,zone,id_serie,annee
2012,9417.0,Revenu disponible par unité de consommation : 1er décile - Bouches-du-Rhône,D13,1741403,2012
2013,9539.0,Revenu disponible par unité de consommation : 1er décile - Bouches-du-Rhône,D13,1741403,2013
2014,9605.0,Revenu disponible par unité de consommation : 1er décile - Bouches-du-Rhône,D13,1741403,2014
2015,9708.0,Revenu disponible par unité de consommation : 1er décile - Bouches-du-Rhône,D13,1741403,2015
2012,11064.0,Revenu disponible par unité de consommation : 1er décile - Calvados,D14,1741404,2012
2013,11213.0,Revenu disponible par unité de consommation : 1er décile - Calvados,D14,1741404,2013
2014,11310.0,Revenu disponible par unité de consommation : 1er décile - Calvados,D14,1741404,2014
2015,11398.0,Revenu disponible par unité de consommation : 1er décile - Calvados,D14,1741404,2015
2012,10544.0,Revenu disponible par unité de consommation : 1er décile - Cantal,D15,1741405,2012
2013,10716.0,Revenu disponible par unité de consommation : 1er décile - Cantal,D15,1741405,2013
2014,10946.0,Revenu disponible par unité de consommation : 1er décile - Cantal,D15,1741405,2014
2015,11120.0,Revenu disponible par unité de consommation : 1er décile - Cantal,D15,1741405,2015
2012,10431.0,Revenu disponible par unité de consommation : 1er décile - Charente,D16,1741406,2012
2013,10609.0,Revenu disponible par unité de consommation : 1er décile - Charente,D16,1741406,2013
2014,10671.0,Revenu disponible par unité de consommation : 1er décile - Charente,D16,1741406,2014
2015,10804.0,Revenu disponible par unité de consommation : 1er décile - Charente,D16,1741406,2015
2012,10867.0,Revenu disponible par unité de consommation : 1er décile - Charente-Maritime,D17,1741407,2012
2013,11029.0,Revenu disponible par unité de consommation : 1er décile - Charente-Maritime,D17,1741407,2013
2014,11086.0,Revenu disponible par unité de consommation : 1er décile - Charente-Maritime,D17,1741407,2014
2015,11237.0,Revenu disponible par unité de consommation : 1er décile - Charente-Maritime,D17,1741407,2015
2012,10587.0,Revenu disponible par unité de consommation : 1er décile - Cher,D18,1741408,2012
2013,10725.0,Revenu disponible par unité de consommation : 1er décile - Cher,D18,1741408,2013
2014,10729.0,Revenu disponible par unité de consommation : 1er décile - Cher,D18,1741408,2014
2015,10836.0,Revenu disponible par unité de consommation : 1er décile - Cher,D18,1741408,2015
2012,10800.0,Revenu disponible par unité de consommation : 1er décile - Corrèze,D19,1741409,2012
2013,10995.0,Revenu disponible par unité de consommation : 1er décile - Corrèze,D19,1741409,2013
2014,11137.0,Revenu disponible par unité de consommation : 1er décile - Corrèze,D19,1741409,2014
2015,11378.0,Revenu disponible par unité de consommation : 1er décile - Corrèze,D19,1741409,2015
2012,9536.0,Revenu disponible par unité de consommation : 1er décile - Corse-du-Sud,D2A,1741410,2012
2013,9843.0,Revenu disponible par unité de consommation : 1er décile - Corse-du-Sud,D2A,1741410,2013
2014,9973.0,Revenu disponible par unité de consommation : 1er décile - Corse-du-Sud,D2A,1741410,2014
2015,10137.0,Revenu disponible par unité de consommation : 1er décile - Corse-du-Sud,D2A,1741410,2015
2012,8520.0,Revenu disponible par unité de consommation : 1er décile - Haute-Corse,D2B,1741411,2012
2013,8920.0,Revenu disponible par unité de consommation : 1er décile - Haute-Corse,D2B,1741411,2013
2014,8999.0,Revenu disponible par unité de consommation : 1er décile - Haute-Corse,D2B,1741411,2014
2015,9185.0,Revenu disponible par unité de consommation : 1er décile - Haute-Corse,D2B,1741411,2015
2012,11565.0,Revenu disponible par unité de consommation : 1er décile - Côte-d'Or,D21,1741412,2012
2013,11721.0,Revenu disponible par unité de consommation : 1er décile - Côte-d'Or,D21,1741412,2013
